1	2	2	2
2	2	2	3
8	2	2	2
9	2	2	2
10	2	4	3
12	2	3	2
13	2	3	3
14	2	4	3
16	2	3	4
17	2	3	4
18	2	3	3
19	2	3	3
22	2	4	3
23	2	4	4
24	2	4	4
25	2	3	3
26	2	4	4
27	2	2	2
28	2	2	2
29	2	2	2
35	2	1	1
1	6	4	4
2	6	3	3
8	6	3	3
9	6	4	3
10	6	4	3
11	6	4	4
12	6	3	4
13	6	4	4
14	6	3	3
19	6	4	4
20	6	4	4
22	6	4	4
1	8	3	4
2	8	4	4
8	8	3	3
9	8	3	4
10	8	4	3
11	8	4	4
12	8	4	4
13	8	4	4
14	8	2	4
16	8	3	3
19	8	4	4
20	8	4	4
21	8	2	3
22	8	3	2
23	8	4	3
25	8	2	2
26	8	3	2
28	8	2	4
29	8	2	2
30	8	4	4
31	8	4	4
32	8	3	2
33	8	3	3
34	8	4	3
35	8	4	4
36	8	4	4
37	8	4	2
38	8	4	3
39	8	4	4
40	8	4	4
1	10	3	3
2	10	3	3
1	12	3	3
2	12	2	2
8	12	1	2
9	12	2	2
10	12	1	1
11	12	2	3
12	12	1	1
13	12	2	2
14	12	1	1
16	12	3	2
17	12	1	1
18	12	2	2
19	12	3	2
20	12	3	3
21	12	1	1
22	12	1	1
23	12	2	2
24	12	2	2
25	12	1	1
26	12	1	1
27	12	1	2
28	12	2	4
29	12	2	2
30	12	3	3
31	12	2	2
32	12	3	2
33	12	3	3
34	12	1	1
35	12	2	2
36	12	1	1
37	12	1	1
38	12	4	3
39	12	3	1
40	12	1	1
2	14	2	2
19	14	3	3
31	14	2	3
33	14	2	3
35	14	3	2
1	16	2	2
2	16	2	2
8	16	1	1
9	16	1	1
10	16	1	1
11	16	1	1
12	16	2	2
13	16	1	1
14	16	1	1
16	16	1	1
17	16	1	1
18	16	1	1
19	16	2	2
20	16	2	2
21	16	2	2
22	16	1	1
23	16	1	1
24	16	1	1
25	16	1	1
26	16	1	1
27	16	1	1
28	16	1	1
29	16	1	1
30	16	2	2
31	16	2	2
32	16	1	1
33	16	2	2
34	16	1	1
35	16	2	2
36	16	1	1
37	16	1	1
38	16	1	1
39	16	1	1
40	16	1	1
1	19	2	3
2	19	3	2
11	19	4	3
12	19	2	3
13	19	2	3
16	19	4	2
19	19	3	3
20	19	2	3
21	19	3	3
27	19	1	2
28	19	2	2
29	19	3	3
30	19	3	3
31	19	2	3
32	19	2	2
33	19	1	1
34	19	1	1
35	19	2	2
36	19	1	1
37	19	1	1
38	19	3	3
39	19	3	3
40	19	3	3
1	20	2	3
2	20	2	2
8	20	3	4
1	21	2	2
2	21	1	1
8	21	3	3
9	21	2	3
10	21	3	3
11	21	2	2
12	21	3	3
13	21	2	3
14	21	3	3
16	21	2	3
17	21	2	2
18	21	2	2
19	21	3	3
20	21	3	3
21	21	3	3
22	21	2	2
23	21	3	3
24	21	2	2
25	21	2	2
26	21	1	1
27	21	3	2
28	21	2	2
29	21	2	2
30	21	2	3
31	21	2	2
32	21	1	1
33	21	1	2
34	21	1	1
35	21	1	1
36	21	2	2
37	21	1	1
38	21	1	1
39	21	2	2
40	21	1	1
1	22	3	3
2	22	2	1
8	22	2	1
9	22	2	1
11	22	2	2
12	22	2	3
13	22	2	4
16	22	3	4
17	22	3	2
18	22	2	4
19	22	3	4
20	22	3	2
21	22	4	4
22	22	4	4
23	22	4	4
24	22	4	4
26	22	4	4
27	22	2	2
28	22	3	4
29	22	3	3
30	22	3	3
31	22	2	2
32	22	2	2
33	22	1	1
34	22	1	1
35	22	2	2
38	22	2	3
39	22	2	4
40	22	2	3
1	23	2	3
2	23	2	2
8	23	2	2
9	23	3	2
10	23	4	3
11	23	2	2
12	23	2	2
13	23	2	2
19	23	3	2
20	23	2	2
21	23	2	1
22	23	2	1
23	23	3	2
24	23	1	1
1	24	3	3
2	24	2	2
